xeid,date,time,score,h1,h2,win,tie,los,result,usable,team1,team2,h11,h12,h21,h22,t1,t2
MPavekOa,2022-01-31,20:05,2:0,1:0,1:0,2.83,2.77,2.9,0.0,True,Canada,USA,1.0,0.0,1.0,0.0,2.0,0.0
Ee8EJ7Q6,2022-01-29,22:00,4:1,2:1,2:0,1.72,4.0,4.54,0.0,True,Venezuela,Bolivia,2.0,1.0,2.0,0.0,4.0,1.0
z59AKmB0,2022-01-29,21:00,0:1,0:0,0:1,1.58,3.58,7.04,2.0,True,Colombia,Peru,0.0,0.0,0.0,1.0,0.0,1.0
2NqwcBgm,2022-01-28,02:05,1:0,0:0,1:0,2.46,2.98,3.12,0.0,True,Costa Rica,Panama,0.0,0.0,1.0,0.0,1.0,0.0
6ib72XVP,2022-01-28,01:05,0:2,0:1,0:1,3.62,3.27,2.09,2.0,True,Honduras,Canada,0.0,1.0,0.0,1.0,0.0,2.0
AN1NHoeJ,2022-01-28,00:15,1:2,1:2,0:0,3.21,3.06,2.4,2.0,True,Chile,Argentina,1.0,2.0,0.0,0.0,1.0,2.0
rZ0zdV8g,2022-01-28,00:00,1:2,0:0,1:2,5.25,3.28,1.77,2.0,True,Jamaica,Mexico,0.0,0.0,1.0,2.0,1.0,2.0
OWpZcivs,2022-01-28,00:00,1:0,0:0,1:0,1.14,7.85,19.25,0.0,True,USA,El Salvador,0.0,0.0,1.0,0.0,1.0,0.0
WW2JIRuD,2022-01-28,23:00,0:1,0:0,0:1,3.27,3.15,2.32,2.0,True,Paraguay,Uruguay,0.0,0.0,0.0,1.0,0.0,1.0
OQk5tVXJ,2022-01-28,21:00,1:1,0:1,1:0,3.52,2.95,2.34,1.0,True,Ecuador,Brazil,0.0,1.0,1.0,0.0,1.0,1.0
lrGI3ZO8,2022-01-28,17:15,1:0,0:0,1:0,1.52,3.85,6.72,0.0,True,Saudi Arabia,Oman,0.0,0.0,1.0,0.0,1.0,0.0
4fOAvSkt,2022-01-27,15:00,2:0,1:0,1:0,2.22,3.13,3.45,0.0,True,United Arab Emirates,Syria,1.0,0.0,1.0,0.0,2.0,0.0
EFUAzGwP,2022-01-27,14:30,1:0,0:0,1:0,1.29,4.88,13.06,0.0,True,Iran,Iraq,0.0,0.0,1.0,0.0,1.0,0.0
2oxqq8sP,2022-01-27,12:00,0:1,0:1,0:0,7.38,3.6,1.55,2.0,True,Lebanon,South Korea,0.0,1.0,0.0,0.0,0.0,1.0
